CPC3-code,CPC3-title,CPC3-title-ZH,ilcd_code,ilcd_category
0,"Agriculture, forestry and fishery products",农业、林业和水产品,6,Materials production
01,"Products of agriculture, horticulture and market gardening",农业、园艺和商品园艺产品,6.11,Materials production: Food and renewable raw materials
011,Cereals,谷物,6.11,Materials production: Food and renewable raw materials
0111,Wheat,小麦,6.11,Materials production: Food and renewable raw materials
01111,"Wheat, seed",小麦、种子,6.1,Materials production: Agricultural production means
01112,"Wheat, other",小麦、其他,6.11,Materials production: Food and renewable raw materials
0112,Maize (corn),玉蜀黍（玉米）,6.11,Materials production: Food and renewable raw materials
01121,"Maize (corn), seed",玉蜀黍（玉米），种子,6.1,Materials production: Agricultural production means
01122,"Maize (corn), other",玉蜀黍（玉米），其它,6.11,Materials production: Food and renewable raw materials
0113,Rice,稻谷,6.11,Materials production: Food and renewable raw materials
01131,"Rice, seed",稻谷、种子,6.1,Materials production: Agricultural production means
01132,"Rice paddy, other (not husked)",稻田，其他（未去壳）,6.11,Materials production: Food and renewable raw materials
0114,Sorghum,高粱,6.11,Materials production: Food and renewable raw materials
01141,"Sorghum, seed",高粱，种子,6.1,Materials production: Agricultural production means
01142,"Sorghum, other",高粱，其他,6.11,Materials production: Food and renewable raw materials
0115,Barley,大麦,6.11,Materials production: Food and renewable raw materials
01151,"Barley, seed",大麦，种子,6.1,Materials production: Agricultural production means
01152,"Barley, other",大麦，其他,6.11,Materials production: Food and renewable raw materials
0116,Rye,黑麦,6.11,Materials production: Food and renewable raw materials
01161,"Rye, seed",黑麦，种子,6.1,Materials production: Agricultural production means
01162,"Rye, other",黑麦，其他,6.11,Materials production: Food and renewable raw materials
0117,Oats,燕麦,6.11,Materials production: Food and renewable raw materials
01171,"Oats, seed",燕麦、种子,6.1,Materials production: Agricultural production means
01172,"Oats, other",燕麦，其他,6.11,Materials production: Food and renewable raw materials
0118,Millet,小米,6.11,Materials production: Food and renewable raw materials
01181,"Millet, seed",小米，种子,6.1,Materials production: Agricultural production means
01182,"Millet, other",小米，其他,6.11,Materials production: Food and renewable raw materials
0119,Other cereals,其他谷物,6.11,Materials production: Food and renewable raw materials
01191,Triticale,十字花科,6.11,Materials production: Food and renewable raw materials
01192,Buckwheat,荞麦,6.11,Materials production: Food and renewable raw materials
01193,Fonio,福尼奥米,6.11,Materials production: Food and renewable raw materials
01194,Quinoa,藜麦,6.11,Materials production: Food and renewable raw materials
01195,Canary seed,金丝雀种子,6.1,Materials production: Agricultural production means
01199,Other cereals n.e.c.,其他谷物,6.11,Materials production: Food and renewable raw materials
012,Vegetables,蔬菜,6.11,Materials production: Food and renewable raw materials
0121,Leafy or stem vegetables,叶菜类或茎菜类蔬菜,6.11,Materials production: Food and renewable raw materials
01211,Asparagus,芦笋,6.11,Materials production: Food and renewable raw materials
01212,Cabbages,卷心菜,6.11,Materials production: Food and renewable raw materials
01213,Cauliflowers and broccoli,菜花和西兰花,6.11,Materials production: Food and renewable raw materials
01214,Lettuce and chicory,生菜和菊苣,6.11,Materials production: Food and renewable raw materials
01215,Spinach,菠菜,6.11,Materials production: Food and renewable raw materials
01216,Artichokes,朝鲜蓟,6.11,Materials production: Food and renewable raw materials
01219,Other leafy or stem vegetables,其他叶菜或茎菜,6.11,Materials production: Food and renewable raw materials
0122,Melons,瓜类,6.11,Materials production: Food and renewable raw materials
01221,Watermelons,西瓜,6.11,Materials production: Food and renewable raw materials
01229,Cantaloupes and other melons,哈密瓜和其他瓜类,6.11,Materials production: Food and renewable raw materials
0123,Fruit-bearing vegetables,水果类蔬菜,6.11,Materials production: Food and renewable raw materials
01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",青辣椒和青椒（辣椒属和胡椒属）,6.11,Materials production: Food and renewable raw materials
01232,Cucumbers and gherkins,黄瓜和小黄瓜,6.11,Materials production: Food and renewable raw materials
01233,Eggplants (aubergines),茄子,6.11,Materials production: Food and renewable raw materials
01234,Tomatoes,番茄,6.11,Materials production: Food and renewable raw materials
01235,"Pumpkins, squash and gourds",南瓜、南瓜和葫芦,6.11,Materials production: Food and renewable raw materials
01239,Other fruit-bearing vegetables,其他水果蔬菜,6.11,Materials production: Food and renewable raw materials
0124,Green leguminous vegetables,绿豆类蔬菜,6.11,Materials production: Food and renewable raw materials
01241,"Beans, green",绿豆,6.11,Materials production: Food and renewable raw materials
01242,"Peas, green",绿豌豆,6.11,Materials production: Food and renewable raw materials
01243,"Broad beans and horse beans, green",青蚕豆和马豆,6.11,Materials production: Food and renewable raw materials
01249,Other green leguminous vegetables,其他绿色豆科蔬菜,6.11,Materials production: Food and renewable raw materials
